transaction_id,customer_id,customer_segment,customer_age_days,successful_payments,failed_payments,historical_success_rate,customer_value,amount,payment_method,merchant_category,subscription_status,status,failure_reason,retry_count,transaction_timestamp,hour,day_of_week,recovery_probability,recovery_possible,recovery_action,revenue_at_risk,actual_recovery,high_value_customer,previous_recovery_success,response_code
TXN_00006253,CUST_000742,STANDARD,256,14,5,0.7368,16680.21,58091.57,CARD,Entertainment,ACTIVE,SUCCESS,,0,2025-10-30T22:58:13.960352,22,3,0.0,0,NONE,0.0,0.0,0,0,SUCCESS
TXN_00004685,CUST_001006,HIGH_VALUE,434,101,5,0.9528,385457.77,1225.47,CARD,SaaS,CANCELLED,FAILED,AUTHENTICATION_FAILED,1,2025-12-03T21:18:13.960352,21,2,0.3304,0,PAYMENT_LINK,404.87,0.0,1,0,AUTH_001
TXN_00001732,CUST_000116,LOYAL,1085,92,9,0.9109,42762.79,2523.03,NETBANKING,Financial Services,CANCELLED,FAILED,AUTHENTICATION_FAILED,1,2025-12-12T11:45:13.960352,11,4,0.3205,0,PAYMENT_LINK,808.56,2318.27,0,0,AUTH_001
TXN_00004743,CUST_000536,STANDARD,590,10,6,0.625,24830.95,3647.15,CARD,SaaS,ACTIVE,SUCCESS,,0,2026-01-13T14:47:13.960352,14,1,0.0,0,NONE,0.0,0.0,0,0,SUCCESS
TXN_00004522,CUST_001997,LOYAL,1280,30,6,0.8333,101707.97,11249.17,CARD,Education,ACTIVE,SUCCESS,,0,2026-02-19T21:36:13.960352,21,3,0.0,0,NONE,0.0,0.0,1,0,SUCCESS
TXN_00006341,CUST_000970,LOYAL,916,72,8,0.9,97044.04,1377.21,CARD,Financial Services,CANCELLED,SUCCESS,,0,2025-11-07T20:29:13.960352,20,4,0.0,0,NONE,0.0,0.0,0,0,SUCCESS
TXN_00000577,CUST_002265,LOYAL,542,72,8,0.9,86151.67,4662.91,EMANDATE,Travel,ACTIVE,SUCCESS,,0,2026-08-08T08:47:13.960352,8,5,0.0,0,NONE,0.0,0.0,0,0,SUCCESS
TXN_00005203,CUST_001329,STANDARD,246,18,3,0.8571,7453.19,4259.59,CARD,Financial Services,ACTIVE,SUCCESS,,0,2026-05-21T20:18:13.960352,20,3,0.0,0,NONE,0.0,0.0,0,0,SUCCESS
TXN_00006364,CUST_001686,HIGH_VALUE,747,140,10,0.9333,150755.27,7460.47,CARD,Travel,PAST_DUE,SUCCESS,,0,2026-05-06T10:50:13.960352,10,2,0.0,0,NONE,0.0,0.0,1,0,SUCCESS
TXN_00000440,CUST_000052,NEW,32,3,3,0.5,4083.85,3434.67,EMANDATE,Ecommerce,ACTIVE,SUCCESS,,0,2025-11-12T19:29:13.960352,19,2,0.0,0,NONE,0.0,0.0,0,0,SUCCESS
